 ### First line has dlss for this model and kcutflag
 ### Then normal l ClT ClE ClC output
     15098.439203477  -1
  418  0.29036E+04  0.30327E+02  0.72049E+02
  419  0.28833E+04  0.30409E+02  0.69454E+02
  420  0.28636E+04  0.30486E+02  0.66849E+02
  421  0.28444E+04  0.30559E+02  0.64235E+02
  422  0.28258E+04  0.30627E+02  0.61613E+02
  423  0.28077E+04  0.30692E+02  0.58984E+02
  424  0.27902E+04  0.30752E+02  0.56349E+02
  425  0.27732E+04  0.30807E+02  0.53709E+02
  426  0.27567E+04  0.30858E+02  0.51064E+02
  427  0.27408E+04  0.30905E+02  0.48416E+02
  428  0.27255E+04  0.30947E+02  0.45766E+02
  429  0.27107E+04  0.30985E+02  0.43114E+02
  430  0.26964E+04  0.31018E+02  0.40461E+02
  431  0.26827E+04  0.31047E+02  0.37809E+02
  432  0.26695E+04  0.31071E+02  0.35158E+02
  433  0.26569E+04  0.31090E+02  0.32510E+02
  434  0.26448E+04  0.31105E+02  0.29864E+02
  435  0.26332E+04  0.31115E+02  0.27223E+02
  436  0.26222E+04  0.31121E+02  0.24587E+02
  437  0.26117E+04  0.31122E+02  0.21956E+02
  438  0.26018E+04  0.31118E+02  0.19333E+02
  439  0.25924E+04  0.31109E+02  0.16717E+02
  440  0.25836E+04  0.31096E+02  0.14110E+02
  441  0.25752E+04  0.31078E+02  0.11513E+02
  442  0.25675E+04  0.31055E+02  0.89259E+01
  443  0.25602E+04  0.31027E+02  0.63508E+01
  444  0.25535E+04  0.30994E+02  0.37880E+01
  445  0.25473E+04  0.30957E+02  0.12387E+01
  446  0.25417E+04  0.30914E+02 -0.12963E+01
  447  0.25366E+04  0.30867E+02 -0.38161E+01
  448  0.25320E+04  0.30814E+02 -0.63196E+01
  449  0.25280E+04  0.30757E+02 -0.88061E+01
  450  0.25245E+04  0.30695E+02 -0.11275E+02
  451  0.25215E+04  0.30627E+02 -0.13724E+02
  452  0.25191E+04  0.30555E+02 -0.16154E+02
  453  0.25172E+04  0.30478E+02 -0.18564E+02
  454  0.25157E+04  0.30395E+02 -0.20953E+02
  455  0.25148E+04  0.30309E+02 -0.23321E+02
  456  0.25144E+04  0.30217E+02 -0.25668E+02
  457  0.25145E+04  0.30121E+02 -0.27992E+02
  458  0.25150E+04  0.30020E+02 -0.30293E+02
  459  0.25160E+04  0.29915E+02 -0.32571E+02
  460  0.25175E+04  0.29806E+02 -0.34824E+02
  461  0.25195E+04  0.29692E+02 -0.37054E+02
  462  0.25219E+04  0.29574E+02 -0.39258E+02
  463  0.25247E+04  0.29451E+02 -0.41436E+02
  464  0.25279E+04  0.29325E+02 -0.43588E+02
  465  0.25316E+04  0.29195E+02 -0.45714E+02
  466  0.25357E+04  0.29060E+02 -0.47812E+02
  467  0.25402E+04  0.28922E+02 -0.49882E+02
  468  0.25451E+04  0.28780E+02 -0.51924E+02
  469  0.25504E+04  0.28634E+02 -0.53937E+02
  470  0.25561E+04  0.28485E+02 -0.55920E+02
  471  0.25622E+04  0.28332E+02 -0.57873E+02
  472  0.25686E+04  0.28175E+02 -0.59795E+02
  473  0.25754E+04  0.28015E+02 -0.61687E+02
  474  0.25826E+04  0.27852E+02 -0.63546E+02
  475  0.25901E+04  0.27685E+02 -0.65373E+02
  476  0.25979E+04  0.27515E+02 -0.67167E+02
  477  0.26061E+04  0.27342E+02 -0.68928E+02
  478  0.26146E+04  0.27166E+02 -0.70655E+02
  479  0.26234E+04  0.26987E+02 -0.72347E+02
  480  0.26326E+04  0.26805E+02 -0.74004E+02
  481  0.26420E+04  0.26620E+02 -0.75625E+02
  482  0.26517E+04  0.26432E+02 -0.77210E+02
  483  0.26617E+04  0.26242E+02 -0.78758E+02
  484  0.26720E+04  0.26049E+02 -0.80269E+02
  485  0.26825E+04  0.25853E+02 -0.81742E+02
  486  0.26933E+04  0.25655E+02 -0.83177E+02
  487  0.27044E+04  0.25454E+02 -0.84572E+02
  488  0.27157E+04  0.25251E+02 -0.85928E+02
  489  0.27273E+04  0.25046E+02 -0.87244E+02
  490  0.27391E+04  0.24838E+02 -0.88519E+02
  491  0.27511E+04  0.24629E+02 -0.89753E+02
  492  0.27633E+04  0.24417E+02 -0.90944E+02
  493  0.27757E+04  0.24204E+02 -0.92094E+02
  494  0.27884E+04  0.23988E+02 -0.93201E+02
  495  0.28012E+04  0.23771E+02 -0.94264E+02
  496  0.28142E+04  0.23551E+02 -0.95283E+02
  497  0.28274E+04  0.23330E+02 -0.96257E+02
  498  0.28407E+04  0.23108E+02 -0.97186E+02
  499  0.28542E+04  0.22884E+02 -0.98070E+02
  500  0.28679E+04  0.22658E+02 -0.98907E+02
  501  0.28817E+04  0.22431E+02 -0.99698E+02
  502  0.28957E+04  0.22203E+02 -0.10044E+03
  503  0.29098E+04  0.21973E+02 -0.10114E+03
